geography,hsa_nci_id,week_end,wastewater_z,n_sites,covid_ed_pct,covid_ed_pct_smoothed,covid_ed_trend,hsa,hsa_counties
New Jersey,108,2025-01-04,0.5086047462698932,1,2.26,1.91,No Change,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-01-11,0.7445748147284861,2,1.81,1.84,No Change,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-01-18,0.8064597912710447,2,1.55,1.83,No Change,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-01-25,0.8026634686765941,2,1.69,1.84,No Change,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-02-01,0.8176729320274014,2,1.94,1.8,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-02-08,0.8536390430960465,2,1.79,1.64,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-02-15,0.9779510775051813,2,1.41,1.42,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-02-22,0.6156386659631696,2,1.27,1.23,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-03-01,0.6237784237983999,2,0.9,1.09,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-03-08,0.8233229442569752,2,1.0,0.99,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-03-15,0.7457486425447215,2,0.97,0.93,Decreasing,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-03-22,0.7045117588626646,2,1.03,0.88,No Change,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
New Jersey,108,2025-03-29,0.5563343073338638,2,0.69,0.83,No Change,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean"
